Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,PK,PKatt,Sh,SoT,FK,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
72,Sergio Álvarez\Sergio-Alvarez,es ESP,MFDF,Eibar,es La Liga,26,1992,11.9,0.00,0.00,0.00,0.17,0.00,0.00,0.0,0.17,0.00,0.00,,0.02,0.02,0.11,-0.02,-0.02,Matches
73,Yeray Álvarez\Yeray-Alvarez,es ESP,DF,Athletic Club,es La Liga,23,1995,29.0,0.00,0.00,0.00,0.34,0.10,0.00,30.0,0.34,0.10,0.00,0.00,0.05,0.04,0.12,-0.05,-0.04,Matches
74,Bruno Alves\Bruno-Alves,pt POR,DF,Parma,it Serie A,36,1981,32.5,0.12,0.00,0.00,0.52,0.15,0.25,29.4,0.52,0.15,0.24,0.80,0.06,0.06,0.12,0.06,0.06,Matches
75,Dani Alves\Dani-Alves,br BRA,MFDF,Paris S-G,fr Ligue 1,35,1983,18.0,0.06,0.00,0.00,1.50,0.33,0.11,22.2,1.50,0.33,0.04,0.17,0.12,0.12,0.08,-0.06,-0.06,Matches
76,Alfons Amade\Alfons-Amade,de GER,MF,Hoffenheim,de Bundesliga,18,1999,0.1,0.00,0.00,0.00,10.0,0.00,0.00,0.0,10.00,0.00,0.00,,1.00,1.00,0.07,-1.00,-1.00,Matches
77,Ibrahim Amadou\Ibrahim-Amadou,fr FRA,MFDF,Sevilla,es La Liga,25,1993,8.5,0.00,0.00,0.00,1.06,0.35,0.00,33.3,1.06,0.35,0.00,0.00,0.07,0.07,0.07,-0.07,-0.07,Matches
78,Romain Amalfitano\Romain-Amalfitano,fr FRA,MFFW,Dijon,fr Ligue 1,28,1989,28.0,0.00,0.00,0.00,0.71,0.14,0.00,20.0,0.71,0.14,0.00,0.00,0.02,0.02,0.03,-0.02,-0.02,Matches
79,Daniel Amartey\Daniel-Amartey,gh GHA,DF,Leicester City,eng Premier League,23,1994,7.1,0.00,0.00,0.00,0.56,0.14,0.00,25.0,0.56,0.14,0.00,0.00,0.04,0.04,0.07,-0.04,-0.04,Matches
80,Jordi Amat\Jordi-Amat,es ESP,DF,Rayo Vallecano,es La Liga,26,1992,30.7,0.00,0.00,0.00,0.23,0.03,0.00,14.3,0.23,0.03,0.00,0.00,0.02,0.02,0.08,-0.02,-0.02,Matches
81,Amath\Amath,sn SEN,MFFW,Getafe,es La Liga,22,1996,11.1,0.09,0.00,0.00,1.26,0.54,0.00,42.9,1.26,0.54,0.07,0.17,0.14,0.14,0.11,-0.05,-0.05,Matches
82,Jordan Amavi\Jordan-Amavi,fr FRA,DF,Marseille,fr Ligue 1,24,1994,24.2,0.00,0.00,0.00,1.03,0.21,0.00,20.0,1.03,0.21,0.00,0.00,0.02,0.02,0.02,-0.02,-0.02,Matches
83,Kelvin Amian\Kelvin-Amian,fr FRA,DF,Toulouse,fr Ligue 1,20,1998,32.0,0.00,0.00,0.00,0.56,0.13,0.00,22.2,0.56,0.12,0.00,0.00,0.02,0.02,0.03,-0.02,-0.02,Matches
