,,,,,,,,,,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Height,Height,Height,Body Parts,Body Parts,Body Parts,Body Parts,Body Parts,Outcomes,Outcomes,Outcomes,Outcomes,Outcomes,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks,Matches
60,Trent Alexander-Arnold\Trent-Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,19,1998,27.4,80.8,65.0,15.8,1.61,0.18,11.7,4.12,7.34,2.66,0.80,0.55,0.07,42.0,11.8,26.9,6.50,60.9,1.72,11.5,0.11,60.0,0.47,2.41,1.17,2.85,Matches
61,Rachid Alioui\Rachid-Alioui,ma MAR,FW,Nîmes,fr Ligue 1,26,1992,13.9,27.6,26.2,1.37,0.00,0.00,7.48,0.58,1.29,0.00,0.00,0.00,0.00,16.8,6.33,4.46,4.82,17.6,2.59,0.29,0.43,19.6,0.00,1.08,0.65,0.79,Matches
62,Alisson\Alisson,br BRA,GK,Liverpool,eng Premier League,25,1992,38.0,33.2,25.5,7.71,2.24,0.00,4.03,1.66,0.00,0.00,0.00,0.00,0.00,20.9,2.63,9.71,2.63,24.3,0.03,0.00,5.18,27.3,0.05,0.87,0.16,0.05,Matches
63,Bobby Allain\Bobby-Allain,fr FRA,GK,Dijon,fr Ligue 1,26,1991,13.0,35.8,22.3,13.5,3.85,0.00,2.23,0.54,0.00,0.00,0.00,0.00,0.00,11.5,0.92,23.5,2.08,26.3,0.00,0.00,5.46,22.2,0.00,1.85,0.08,0.00,Matches
64,Allan\Allan,br BRA,MFDF,Eint Frankfurt,de Bundesliga,21,1997,2.0,32.5,31.5,1.00,0.50,0.00,5.00,0.50,1.50,0.00,0.00,0.00,0.00,20.5,6.50,5.50,24.0,4.00,2.50,0.00,1.00,21.5,0.00,1.50,2.00,0.00,Matches
65,Allan\Allan,br BRA,MF,Napoli,it Serie A,27,1991,29.1,76.8,73.1,3.68,2.37,0.41,9.31,1.48,0.48,0.03,0.00,0.00,0.00,56.5,10.5,9.76,5.22,68.9,1.65,0.58,0.31,68.1,0.45,0.72,1.31,1.48,Matches
66,Dele Alli\Dele-Alli,eng ENG,MFFW,Tottenham,eng Premier League,22,1996,20.3,51.7,50.1,1.58,0.44,0.64,12.6,0.89,0.54,0.10,0.00,0.00,0.00,40.1,4.78,6.80,2.22,46.5,1.82,0.54,0.30,41.5,0.34,0.74,1.18,1.87,Matches
67,Miguel Almirón\Miguel-Almiron,py PAR,FWMF,Newcastle Utd,eng Premier League,24,1994,8.4,31.0,30.5,0.48,0.00,0.24,8.45,1.55,2.50,0.12,0.00,0.12,0.00,22.5,4.76,3.69,28.0,1.31,1.07,0.12,0.24,22.4,0.00,0.60,0.83,1.79,Matches
68,Júnior Alonso\Junior-Alonso,py PAR,DFMF,Celta Vigo,es La Liga,25,1993,6.0,53.2,48.0,5.17,0.67,0.17,5.67,1.67,2.00,0.00,0.00,0.00,0.00,31.0,9.33,12.8,36.2,6.50,4.33,4.50,0.17,39.5,0.17,1.67,0.83,1.83,Matches
69,Marcos Alonso\Marcos-Alonso,es ESP,DF,Chelsea,eng Premier League,27,1990,30.7,72.5,63.5,8.99,0.85,0.07,13.1,1.56,3.19,0.00,0.00,0.00,0.00,50.3,10.6,11.6,54.5,5.77,2.77,8.14,0.16,59.9,0.13,1.34,1.27,1.99,Matches
