,,,,,,,,,,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Height,Height,Height,Body Parts,Body Parts,Body Parts,Body Parts,Body Parts,Outcomes,Outcomes,Outcomes,Outcomes,Outcomes,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks,Matches
342,Gleison Bremer\Gleison-Bremer,br BRA,DF,Torino,it Serie A,21,1997,2.0,51.5,50.5,1.00,1.00,0.00,6.50,5.00,0.00,0.00,0.00,0.00,0.00,37.0,7.50,7.00,11.0,35.0,4.00,0.00,0.50,42.5,0.00,1.50,0.00,1.00,Matches
343,Joshua Brenet\Joshua-Brenet,nl NED,DFMF,Hoffenheim,de Bundesliga,24,1994,10.1,51.7,43.2,8.51,0.40,0.00,8.91,0.89,3.76,0.00,0.00,0.00,0.00,30.9,10.8,10.0,9.50,32.1,1.58,8.12,0.10,41.3,0.10,0.59,0.89,1.78,Matches
344,Rajko Brežančić\Rajko-Brezancic,rs SRB,DF,Huesca,es La Liga,28,1989,0.7,34.3,22.9,11.4,2.86,0.00,1.43,2.86,2.86,0.00,0.00,0.00,0.00,12.9,11.4,10.0,20.0,1.43,4.29,8.57,0.00,21.4,0.00,1.43,0.00,1.43,Matches
345,Anthony Briançon\Anthony-Briancon,fr FRA,DF,Nîmes,fr Ligue 1,23,1994,32.5,38.9,36.2,2.71,2.65,0.03,3.91,2.15,0.12,0.00,0.00,0.00,0.00,26.3,3.42,9.11,2.22,32.9,2.92,0.06,0.15,32.1,0.03,0.89,0.31,0.40,Matches
346,Jimmy Briand\Jimmy-Briand,fr FRA,FW,Bordeaux,fr Ligue 1,32,1985,27.7,25.7,23.4,2.35,0.22,0.29,5.67,0.25,0.54,0.04,0.00,0.00,0.00,18.7,4.80,2.27,3.47,19.6,1.23,0.22,0.69,18.8,0.07,0.43,1.01,1.12,Matches
347,Nicolò Brighenti\Nicolo-Brighenti,it ITA,DF,Frosinone,it Serie A,28,1989,11.0,50.5,45.0,5.55,2.00,0.00,6.73,1.09,0.73,0.00,0.00,0.00,0.00,32.3,6.55,11.7,7.91,35.8,2.27,3.55,0.27,40.0,0.00,1.36,0.82,1.09,Matches
348,Matteo Brighi\Matteo-Brighi,it ITA,MF,Empoli,it Serie A,37,1981,2.6,35.0,33.1,1.92,0.77,0.00,5.38,0.38,0.00,0.00,0.00,0.00,0.00,20.8,9.23,5.00,1.54,28.1,3.08,0.38,0.77,27.7,0.00,0.77,0.38,1.54,Matches
349,Enrico Brignola\Enrico-Brignola,it ITA,FW,Sassuolo,it Serie A,19,1999,1.9,38.4,36.8,1.58,0.00,0.00,10.0,1.58,2.11,1.05,0.00,0.00,0.00,25.3,8.42,4.74,35.3,2.11,0.00,0.53,0.53,31.1,0.00,0.00,2.63,1.58,Matches
350,Miguel Britos\Miguel-Britos,uy URU,DF,Watford,eng Premier League,33,1985,2.1,26.7,26.2,0.48,0.48,0.00,1.90,0.95,0.48,0.00,0.00,0.00,0.00,16.7,3.33,6.67,17.6,6.19,2.38,0.00,0.00,22.9,0.00,0.00,0.00,0.00,Matches
351,David Brooks\David-Brooks,wal WAL,MFFW,Bournemouth,eng Premier League,21,1997,25.1,35.0,32.6,2.43,0.56,0.28,5.90,0.80,1.35,0.76,0.04,0.00,0.04,25.5,5.06,4.42,26.8,6.89,0.76,0.28,0.04,25.9,0.16,1.04,1.08,2.03,Matches
352,John Brooks\John-Brooks,us USA,DF,Wolfsburg,de Bundesliga,25,1993,29.0,59.6,57.0,2.55,2.45,0.07,6.76,4.59,0.00,0.00,0.00,0.00,0.00,45.0,4.31,10.3,43.5,10.9,3.69,0.10,0.48,51.4,0.03,0.72,0.52,0.52,Matches
353,Daniel Brosinski\Daniel-Brosinski,de GER,DF,Mainz 05,de Bundesliga,30,1988,24.5,54.8,41.3,13.5,1.10,0.16,6.29,2.20,5.02,0.82,0.04,0.24,0.04,24.3,10.8,19.7,1.51,38.8,2.29,11.6,0.33,38.6,0.33,1.27,0.73,2.16,Matches
354,Marcelo Brozović\Marcelo-Brozovic,hr CRO,MF,Inter,it Serie A,25,1992,29.4,90.0,82.6,7.45,3.67,0.10,12.5,4.56,4.32,3.33,0.68,0.14,0.07,65.7,10.2,14.1,13.0,74.2,1.73,0.44,0.17,78.3,0.24,0.95,1.26,1.16,Matches
355,Bruma\Bruma,pt POR,MFFW,RB Leipzig,de Bundesliga,23,1994,6.1,58.2,54.3,3.93,1.15,0.00,6.23,0.82,2.62,1.48,0.33,0.49,0.00,48.4,4.59,5.25,7.87,48.0,1.15,1.15,0.00,47.2,0.16,0.33,0.98,2.62,Matches
356,Jeffrey Bruma\Jeffrey-Bruma,nl NED,DF,Schalke 04,de Bundesliga,26,1991,6.9,44.5,43.3,1.16,0.87,0.00,8.70,2.61,0.14,0.00,0.00,0.00,0.00,31.7,3.48,9.28,4.78,36.7,1.59,0.29,0.29,36.7,0.00,0.87,0.58,0.58,Matches
357,Bruno\Bruno,es ESP,DF,Brighton,eng Premier League,37,1980,12.6,50.3,40.6,9.68,0.56,0.00,7.54,1.11,1.35,0.08,0.00,0.00,0.00,30.5,7.62,12.2,1.35,37.9,1.19,9.05,0.32,40.2,0.08,0.95,1.19,1.03,Matches
358,Jacob Bruun Larsen\Jacob-Bruun-Larsen,dk DEN,FWMF,Dortmund,de Bundesliga,19,1998,14.1,37.9,35.9,2.06,0.21,0.00,5.25,0.85,1.13,0.85,0.00,0.00,0.00,29.2,4.75,3.97,9.15,24.5,2.55,0.78,0.35,29.6,0.07,0.64,0.99,1.13,Matches
359,Bryan\Bryan,es ESP,MFFW,Sevilla,es La Liga,17,2001,1.9,42.6,40.5,2.11,0.00,0.00,8.42,0.00,4.74,0.00,0.00,0.00,0.00,26.8,12.1,3.68,35.8,2.63,1.58,2.11,0.00,28.4,0.00,1.05,0.53,3.16,Matches
360,Joe Bryan\Joe-Bryan,eng ENG,DF,Fulham,eng Premier League,24,1993,26.1,49.5,39.5,9.92,1.00,0.00,7.74,0.92,4.48,0.61,0.23,0.19,0.15,24.5,7.82,17.1,31.0,6.32,3.07,8.31,0.08,34.8,0.11,1.15,0.73,1.65,Matches
361,Gianluigi Buffon\Gianluigi-Buffon,it ITA,GK,Paris S-G,fr Ligue 1,40,1978,17.0,23.6,16.1,7.53,1.47,0.00,1.12,0.24,0.00,0.00,0.00,0.00,0.00,18.1,1.82,3.76,1.53,17.4,0.06,0.00,4.41,21.6,0.06,0.18,0.06,0.06,Matches
362,Niko Bungert\Niko-Bungert,de GER,DF,Mainz 05,de Bundesliga,31,1986,3.2,35.0,34.1,0.94,0.94,0.00,5.00,0.94,0.00,0.00,0.00,0.00,0.00,26.9,5.00,3.13,4.69,25.6,3.13,0.00,0.00,31.3,0.00,0.63,0.00,0.00,Matches
363,Guido Burgstaller\Guido-Burgstaller,at AUT,FW,Schalke 04,de Bundesliga,29,1989,17.0,17.8,15.9,1.88,0.00,0.00,3.47,0.29,1.06,0.00,0.00,0.00,0.00,10.2,4.71,2.88,4.29,9.76,2.12,0.24,0.29,11.5,0.06,0.53,0.53,1.12,Matches
364,Burgui\Burgui,es ESP,MFFW,Alavés,es La Liga,24,1993,6.2,34.2,30.5,3.71,1.77,0.16,7.58,0.32,2.26,1.13,0.00,0.00,0.00,23.1,5.32,5.81,3.55,27.6,1.77,0.48,0.32,26.9,0.16,0.65,1.29,1.13,Matches
365,Jonathan Burkardt\Jonathan-Burkardt,de GER,FWMF,Mainz 05,de Bundesliga,18,2000,2.9,19.7,19.3,0.34,0.00,0.00,3.45,0.00,2.07,0.00,0.00,0.00,0.00,10.3,5.17,4.14,6.21,11.7,0.69,0.00,0.00,11.7,0.34,0.00,1.03,0.69,Matches
366,Roman Bürki\Roman-Burki,ch SUI,GK,Dortmund,de Bundesliga,27,1990,32.0,33.3,24.4,8.91,1.91,0.00,2.22,1.13,0.00,0.00,0.00,0.00,0.00,17.2,1.72,14.4,5.38,21.8,0.03,0.00,5.31,23.3,0.13,0.94,0.25,0.06,Matches
367,Patrick Burner\Patrick-Burner,fr FRA,DF,Nice,fr Ligue 1,22,1996,15.0,49.5,40.6,8.87,1.00,0.07,7.47,0.60,1.60,0.07,0.00,0.00,0.00,33.1,9.47,6.87,2.20,38.3,0.80,7.80,0.00,41.9,0.07,0.73,0.67,1.07,Matches
368,Sergio Busquets\Sergio-Busquets,es ESP,MF,Barcelona,es La Liga,30,1988,30.2,79.4,76.1,3.28,3.15,0.13,12.0,2.05,0.07,0.00,0.00,0.00,0.00,63.3,7.78,8.31,12.7,62.1,3.28,0.13,0.30,71.6,0.10,0.63,1.23,1.23,Matches
369,Gaëtan Bussmann\Gaetan-Bussmann,fr FRA,DF,Mainz 05,de Bundesliga,27,1991,1.0,57.0,50.0,7.00,0.00,0.00,7.00,2.00,1.00,0.00,0.00,0.00,0.00,32.0,2.00,23.0,34.0,9.00,5.00,7.00,0.00,40.0,0.00,3.00,0.00,0.00,Matches
370,Unai Bustinza\Unai-Bustinza,es ESP,DF,Leganés,es La Liga,26,1992,22.5,44.9,36.5,8.44,1.73,0.00,6.71,1.64,1.07,0.00,0.00,0.00,0.00,20.4,7.82,16.8,1.24,31.2,4.53,6.71,0.36,31.5,0.22,1.56,0.80,0.80,Matches
371,Ludovic Butelle\Ludovic-Butelle,fr FRA,GK,Angers,fr Ligue 1,35,1983,36.0,27.0,15.6,11.3,3.64,0.00,1.39,0.78,0.00,0.00,0.00,0.00,0.00,8.67,1.56,16.8,15.4,5.08,0.00,0.00,4.72,16.9,0.11,0.81,0.08,0.00,Matches
372,David Button\David-Button,eng ENG,GK,Brighton,eng Premier League,29,1989,4.0,27.0,16.0,11.0,2.25,0.00,2.00,0.50,0.00,0.00,0.00,0.00,0.00,4.50,0.50,22.0,1.75,18.5,0.00,0.00,2.25,12.0,0.00,1.00,0.00,0.00,Matches
373,Jakub Błaszczykowski\Jakub-Blaszczykowski,pl POL,FW,Wolfsburg,de Bundesliga,32,1985,0.1,20.0,20.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.0,0.00,0.00,20.0,0.00,0.00,20.0,0.00,0.00,0.00,0.00,Matches
374,Erick Cabaco\Erick-Cabaco,uy URU,DF,Levante,es La Liga,23,1995,18.1,39.1,36.4,2.76,2.04,0.00,3.92,1.82,0.11,0.00,0.00,0.00,0.00,22.6,5.64,10.9,1.82,33.4,2.60,0.72,0.11,28.5,0.17,0.44,1.05,0.66,Matches
375,Willy Caballero\Willy-Caballero,ar ARG,GK,Chelsea,eng Premier League,36,1981,2.0,31.5,20.5,11.0,3.00,0.00,1.50,0.50,0.00,0.00,0.00,0.00,0.00,16.0,3.50,12.0,2.00,24.0,0.00,0.00,4.50,25.5,0.00,0.00,0.00,0.00,Matches
376,Rémy Cabella\Remy-Cabella,fr FRA,MFFW,Saint-Étienne,fr Ligue 1,28,1990,33.3,63.1,60.4,2.67,1.17,0.27,12.1,0.90,2.49,0.57,0.00,0.00,0.00,50.0,7.24,5.83,9.22,51.7,1.08,0.36,0.36,52.8,0.18,1.05,1.44,1.23,Matches
377,Gustavo Cabral\Gustavo-Cabral,ar ARG,DF,Celta Vigo,es La Liga,32,1985,21.1,43.9,42.6,1.33,1.28,0.00,4.74,0.95,0.00,0.00,0.00,0.00,0.00,32.5,4.93,6.49,5.17,33.3,3.70,0.05,0.28,38.2,0.05,0.81,0.24,0.28,Matches
378,Rafael Cabral\Rafael-Cabral,br BRA,GK,Sampdoria,it Serie A,28,1990,2.0,32.0,19.5,12.5,5.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,15.0,1.50,15.5,2.00,26.0,0.00,0.00,4.00,23.0,0.50,0.00,0.50,0.50,Matches
379,Leandro Cabrera\Leandro-Cabrera,uy URU,DF,Getafe,es La Liga,27,1991,31.0,34.6,28.6,6.00,2.03,0.00,5.65,2.84,0.90,0.03,0.00,0.00,0.00,8.65,6.77,19.2,18.5,4.06,5.42,3.90,0.00,18.6,0.32,1.87,0.77,1.39,Matches
380,Fabrizio Cacciatore\Fabrizio-Cacciatore,it ITA,DF,Cagliari,it Serie A,31,1986,6.4,58.6,51.4,7.19,0.31,0.00,8.28,2.03,3.44,0.00,0.00,0.00,0.00,31.6,10.0,17.0,9.53,39.5,2.03,6.88,0.47,45.8,0.00,1.25,0.63,2.50,Matches
381,Fabrizio Cacciatore\Fabrizio-Cacciatore,it ITA,DF,Chievo,it Serie A,31,1986,5.5,48.5,40.4,8.18,0.55,0.00,4.36,0.73,2.91,0.00,0.00,0.00,0.00,24.9,7.64,16.0,11.8,24.9,3.27,7.64,0.00,36.0,0.18,0.91,1.09,1.27,Matches
382,Martín Cáceres\Martin-Caceres,uy URU,DFFW,Lazio,it Serie A,31,1987,3.4,45.3,41.5,3.82,1.76,0.00,6.18,0.59,1.18,0.00,0.00,0.00,0.00,34.1,3.53,7.65,10.9,30.9,0.29,2.06,0.59,37.6,0.29,1.18,1.18,1.18,Matches
383,Martín Cáceres\Martin-Caceres,uy URU,DF,Juventus,it Serie A,31,1987,7.0,65.9,63.7,2.14,1.14,0.00,7.14,0.86,0.71,0.00,0.00,0.00,0.00,54.1,5.00,6.71,11.3,50.6,2.14,1.00,0.29,60.0,0.14,0.71,0.57,1.14,Matches
384,Anthony Caci\Anthony-Caci,fr FRA,DF,Strasbourg,fr Ligue 1,21,1997,25.5,55.5,48.6,6.82,0.63,0.04,9.80,2.31,1.53,0.08,0.00,0.00,0.00,35.6,9.02,10.8,13.7,32.6,2.12,6.12,0.31,45.2,0.04,1.14,1.06,1.33,Matches
385,Mathieu Cafaro\Mathieu-Cafaro,fr FRA,FWMF,Reims,fr Ligue 1,21,1997,23.3,32.1,27.4,4.64,1.63,0.21,5.92,2.15,6.18,2.53,0.43,0.52,0.21,17.3,4.85,9.87,3.18,26.7,1.50,0.26,0.13,19.6,0.21,0.77,0.64,1.46,Matches
386,Gary Cahill\Gary-Cahill,eng ENG,DF,Chelsea,eng Premier League,32,1985,0.3,66.7,66.7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.0,0.00,6.67,10.0,50.0,6.67,0.00,0.00,60.0,0.00,0.00,3.33,0.00,Matches
387,Yannick Cahuzac\Yannick-Cahuzac,fr FRA,MFDF,Toulouse,fr Ligue 1,33,1985,15.9,34.4,33.1,1.26,0.82,0.00,5.47,0.19,0.06,0.00,0.00,0.00,0.00,20.5,6.98,6.92,1.64,26.3,4.59,0.38,0.69,28.2,0.00,0.94,0.44,0.63,Matches
388,Felipe Caicedo\Felipe-Caicedo,ec ECU,FW,Lazio,it Serie A,29,1988,15.2,24.1,23.8,0.39,0.00,0.07,6.18,0.13,0.07,0.00,0.00,0.00,0.00,17.6,3.82,2.70,16.4,4.54,1.64,0.07,0.46,18.2,0.13,0.46,0.66,0.66,Matches
389,Marc-Aurèle Caillard\Marc-Aurele-Caillard,fr FRA,GK,Guingamp,fr Ligue 1,24,1994,21.0,26.1,14.7,11.4,3.14,0.00,1.52,0.67,0.00,0.00,0.00,0.00,0.00,6.52,1.00,18.6,0.76,19.5,0.05,0.00,3.14,13.9,0.19,1.48,0.00,0.19,Matches
390,Tom Cairney\Tom-Cairney,sco SCO,MFFW,Fulham,eng Premier League,27,1991,24.4,57.9,56.6,1.27,0.61,0.16,13.6,1.19,1.11,0.16,0.08,0.00,0.00,49.1,3.69,5.12,50.7,5.90,0.94,0.00,0.12,51.5,0.37,0.66,0.78,0.66,Matches
391,Caiuby\Caiuby,br BRA,FWMF,Augsburg,de Bundesliga,30,1988,11.2,35.2,34.4,0.80,0.18,0.09,7.77,0.89,1.43,0.00,0.00,0.00,0.00,21.3,6.07,7.77,14.6,12.8,4.46,0.63,0.27,24.6,0.18,1.25,0.98,1.96,Matches
392,Arturo Calabresi\Arturo-Calabresi,it ITA,DF,Bologna,it Serie A,22,1996,15.7,46.1,39.7,6.31,1.15,0.06,5.41,0.83,1.21,0.00,0.00,0.00,0.00,27.5,8.85,9.75,2.87,35.1,2.17,5.16,0.32,36.8,0.06,0.89,0.83,1.15,Matches
393,Davide Calabria\Davide-Calabria,it ITA,DF,Milan,it Serie A,21,1996,21.7,68.0,58.9,9.08,0.92,0.18,10.1,1.29,3.09,0.05,0.00,0.00,0.00,44.8,9.82,13.4,5.58,51.4,2.49,8.11,0.18,55.0,0.37,1.57,1.15,1.80,Matches
394,Jordi Calavera\Jordi-Calavera,es ESP,DF,Eibar,es La Liga,22,1995,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
395,Fernando Calero\Fernando-Calero,es ESP,DF,Valladolid,es La Liga,22,1995,34.8,41.1,39.2,1.95,1.78,0.00,4.51,1.03,0.11,0.00,0.00,0.00,0.00,29.9,3.65,7.59,8.42,28.9,2.93,0.17,0.14,35.1,0.11,0.60,0.40,0.29,Matches
396,Duje Ćaleta-Car\Duje-Caleta-Car,hr CRO,DF,Marseille,fr Ligue 1,21,1996,17.2,46.9,45.8,1.10,0.99,0.06,6.92,1.80,0.06,0.00,0.00,0.00,0.00,33.8,4.07,9.01,11.3,30.6,2.97,0.12,0.29,40.5,0.12,0.93,0.12,0.41,Matches
397,Hakan Çalhanoğlu\Hakan-Calhanoglu,tr TUR,FWMF,Milan,it Serie A,24,1994,32.0,59.0,53.7,5.28,1.75,0.34,11.3,4.44,4.75,2.94,0.53,0.34,0.06,40.3,7.53,11.1,4.31,52.3,1.19,0.56,0.25,47.1,0.13,1.00,1.13,1.63,Matches
398,Daniel Caligiuri\Daniel-Caligiuri,it ITA,DF,Schalke 04,de Bundesliga,30,1988,30.6,54.3,39.2,15.1,3.04,0.10,7.39,2.06,5.88,2.09,0.10,0.69,0.10,23.4,12.1,18.8,5.42,36.4,2.06,9.97,0.07,37.4,0.39,1.11,1.18,2.09,Matches
399,José Callejón\Jose-Callejon,es ESP,MFFW,Napoli,it Serie A,31,1987,29.4,57.2,52.6,4.63,0.58,0.37,8.47,2.48,5.34,2.79,0.17,0.48,0.10,36.6,9.86,10.7,6.19,47.6,1.90,1.22,0.17,46.6,0.07,0.54,1.02,1.50,Matches
400,Jonathan Calleri\Jonathan-Calleri,ar ARG,FW,Alavés,es La Liga,24,1993,31.9,23.2,22.4,0.75,0.00,0.03,7.21,0.60,1.50,0.00,0.00,0.00,0.00,10.6,6.39,6.21,1.97,14.1,2.57,0.06,0.82,14.3,0.16,0.63,0.72,1.25,Matches
401,Jan-Ingwer Callsen-Bracker\Jan-Ingwer-Callsen-Bracker,de GER,DF,Augsburg,de Bundesliga,33,1984,0.1,50.0,50.0,0.00,0.00,0.00,30.0,10.0,0.00,0.00,0.00,0.00,0.00,30.0,20.0,0.00,10.0,40.0,0.00,0.00,0.00,50.0,0.00,0.00,0.00,0.00,Matches
402,Dominic Calvert-Lewin\Dominic-Calvert-Lewin,eng ENG,FW,Everton,eng Premier League,21,1997,19.8,22.3,21.8,0.51,0.00,0.20,7.32,0.25,0.30,0.00,0.00,0.00,0.00,12.7,4.95,4.60,2.63,13.9,2.27,0.05,0.56,14.3,0.05,0.76,0.81,0.76,Matches
403,Ignacio Camacho\Ignacio-Camacho,es ESP,MF,Wolfsburg,de Bundesliga,28,1990,6.0,53.2,50.5,2.67,2.50,0.17,10.0,2.17,0.33,0.00,0.00,0.00,0.00,33.2,7.00,13.0,4.17,41.0,4.67,0.17,0.50,40.8,0.17,1.50,0.83,1.67,Matches
404,Juanjo Camacho\Juanjo-Camacho,es ESP,MF,Huesca,es La Liga,37,1980,0.4,55.0,55.0,0.00,0.00,0.00,5.00,2.50,5.00,0.00,0.00,0.00,0.00,25.0,15.0,15.0,35.0,7.50,10.0,0.00,2.50,32.5,0.00,2.50,0.00,2.50,Matches
405,Rafael Camacho\Rafael-Camacho,pt POR,DF,Liverpool,eng Premier League,18,2000,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
406,Mahdi Camara\Mahdi-Camara,fr FRA,FW,Saint-Étienne,fr Ligue 1,20,1998,0.1,10.0,10.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.0,0.00,0.00,0.00,10.0,0.00,0.00,0.00,10.0,0.00,0.00,0.00,0.00,Matches
407,Souleymane Camara\Souleymane-Camara,sn SEN,FWMF,Montpellier,fr Ligue 1,35,1982,1.5,35.3,33.3,2.00,0.00,0.00,9.33,0.00,2.00,0.00,0.00,0.00,0.00,24.7,7.33,3.33,8.67,20.7,1.33,0.67,0.67,24.0,0.00,0.00,0.67,3.33,Matches
408,Víctor Camarasa\Victor-Camarasa,es ESP,MF,Cardiff City,eng Premier League,24,1994,28.5,35.3,30.4,4.88,1.86,0.04,6.98,2.49,4.32,2.60,0.25,0.25,0.07,23.2,3.79,8.32,3.47,29.6,1.54,0.14,0.18,24.6,0.18,0.88,1.19,1.33,Matches
409,Eduardo Camavinga\Eduardo-Camavinga,fr FRA,MF,Rennes,fr Ligue 1,15,2002,4.0,35.8,35.3,0.50,0.50,0.00,7.00,0.50,0.00,0.00,0.00,0.00,0.00,27.3,5.00,3.50,29.0,5.00,1.25,0.00,0.00,30.5,0.25,0.25,0.50,0.75,Matches
410,Sergio Camello\Sergio-Camello,es ESP,FW,Atlético Madrid,es La Liga,17,2001,0.5,20.0,20.0,0.00,0.00,0.00,0.00,2.00,2.00,0.00,0.00,0.00,0.00,16.0,0.00,4.00,4.00,16.0,0.00,0.00,0.00,16.0,0.00,2.00,0.00,2.00,Matches
411,José Campaña\Jose-Campana,es ESP,MF,Levante,es La Liga,25,1993,35.7,55.0,49.5,5.57,2.35,0.06,8.66,2.58,4.17,2.97,0.76,0.50,0.08,36.8,8.15,10.1,7.56,44.2,2.58,0.17,0.11,44.4,0.20,1.26,0.90,1.18,Matches
412,Joel Campbell\Joel-Campbell,cr CRC,FWMF,Frosinone,it Serie A,26,1992,9.9,27.3,24.9,2.32,0.40,0.00,5.15,1.52,2.12,0.61,0.00,0.00,0.00,19.1,3.84,4.34,21.9,3.94,0.51,0.30,0.30,19.5,0.10,0.40,1.21,1.31,Matches
413,Emre Can\Emre-Can,de GER,MF,Juventus,it Serie A,24,1994,20.1,51.0,49.9,1.14,0.75,0.10,9.60,1.54,0.95,0.05,0.00,0.00,0.00,37.4,7.06,6.62,10.2,36.2,2.64,0.35,0.35,44.3,0.10,0.75,0.60,0.50,Matches
414,Sergio Canales\Sergio-Canales,es ESP,MFFW,Betis,es La Liga,27,1991,29.5,63.0,57.4,5.66,2.37,0.24,11.8,2.58,4.85,2.95,0.27,0.34,0.07,47.9,5.73,9.42,56.8,5.29,0.47,0.24,0.17,52.7,0.27,0.81,0.61,1.46,Matches
415,João Cancelo\Joao-Cancelo,pt POR,DF,Juventus,it Serie A,24,1994,21.9,69.7,61.4,8.31,0.87,0.27,7.76,2.28,5.02,0.55,0.05,0.05,0.00,45.6,10.6,13.4,7.17,52.2,2.37,6.89,0.32,57.6,0.05,1.32,1.32,1.32,Matches
416,Antonio Candreva\Antonio-Candreva,it ITA,FWMF,Inter,it Serie A,31,1987,5.6,53.9,47.1,6.79,1.07,0.00,7.14,1.96,12.7,3.93,0.18,0.54,0.18,32.7,5.71,15.5,9.46,41.1,1.43,1.79,0.18,37.5,0.00,1.25,0.89,3.93,Matches
417,Ander Capa\Ander-Capa,es ESP,DF,Athletic Club,es La Liga,26,1992,18.2,50.5,39.3,11.2,0.49,0.00,7.69,0.71,2.75,0.11,0.00,0.00,0.00,25.2,12.1,13.2,3.30,32.4,3.24,10.5,0.11,37.0,0.27,0.99,0.88,2.31,Matches
418,Luan Capanni\Luan-Capanni,br BRA,FW,Lazio,it Serie A,18,2000,0.1,50.0,50.0,0.00,0.00,0.00,10.0,0.00,0.00,0.00,0.00,0.00,0.00,30.0,0.00,20.0,0.00,30.0,10.0,0.00,0.00,30.0,0.00,0.00,0.00,20.0,Matches
419,Pierrick Capelle\Pierrick-Capelle,fr FRA,MFDF,Angers,fr Ligue 1,31,1987,20.5,46.8,41.0,5.80,1.07,0.05,7.41,1.07,3.02,0.93,0.00,0.00,0.00,31.9,5.95,8.93,35.7,4.68,1.76,3.80,0.10,37.2,0.15,0.49,0.68,1.32,Matches
420,Leonardo Capezzi\Leonardo-Capezzi,it ITA,MF,Empoli,it Serie A,23,1995,8.6,63.5,61.2,2.33,1.98,0.00,7.21,2.67,0.93,0.12,0.00,0.00,0.00,48.5,4.19,10.8,13.4,45.6,3.37,0.12,0.35,53.4,0.12,1.16,0.47,1.16,Matches
421,Étienne Capoue\Etienne-Capoue,fr FRA,MF,Watford,eng Premier League,30,1988,32.7,54.4,52.6,1.74,1.38,0.12,9.42,2.54,0.15,0.03,0.00,0.00,0.00,36.1,7.71,10.6,8.65,39.8,4.28,0.15,0.18,45.3,0.15,0.89,0.73,0.40,Matches
422,Gianluca Caprari\Gianluca-Caprari,it ITA,FWMF,Sampdoria,it Serie A,25,1993,11.5,38.3,34.4,3.83,0.96,0.17,6.52,1.65,3.48,2.17,0.26,0.09,0.09,27.5,5.04,5.74,4.96,32.0,0.70,0.17,0.35,29.7,0.17,1.04,0.70,1.22,Matches
423,Marco Capuano\Marco-Capuano,it ITA,DF,Frosinone,it Serie A,26,1991,25.6,45.8,43.4,2.42,1.76,0.00,7.11,0.51,0.12,0.00,0.00,0.00,0.00,32.5,4.02,9.30,33.4,7.97,2.50,0.66,0.23,38.0,0.16,0.82,0.39,0.59,Matches
424,Francesco Caputo\Francesco-Caputo,it ITA,FW,Empoli,it Serie A,30,1987,38.0,24.2,22.8,1.47,0.11,0.11,5.18,0.58,0.53,0.05,0.03,0.00,0.00,18.5,4.05,1.71,3.87,18.6,0.61,0.24,0.55,18.7,0.08,0.39,0.61,0.79,Matches
425,Yoan Cardinale\Yoan-Cardinale,fr FRA,GK,Nice,fr Ligue 1,24,1994,3.0,21.0,18.3,2.67,0.33,0.00,2.00,0.33,0.00,0.00,0.00,0.00,0.00,20.3,0.33,0.33,0.33,15.0,0.00,0.00,5.67,20.7,0.00,0.00,0.00,0.00,Matches
426,Marc Cardona\Marc-Cardona,es ESP,FWMF,Eibar,es La Liga,23,1995,6.7,26.7,25.4,1.34,0.00,0.00,6.27,0.30,1.04,0.00,0.00,0.00,0.00,18.2,4.78,3.73,5.07,18.2,1.49,0.30,0.30,19.1,0.30,0.15,0.60,1.19,Matches
427,Carlos\Carlos,br BRA,FWMF,Monaco,fr Ligue 1,23,1995,5.8,18.8,17.8,1.03,0.00,0.17,5.52,0.00,0.69,0.00,0.00,0.00,0.00,9.31,6.03,3.45,12.4,2.07,1.90,0.00,0.86,9.66,0.00,0.69,0.69,1.72,Matches
428,Diego Carlos\Diego-Carlos,br BRA,DF,Nantes,fr Ligue 1,25,1993,35.0,48.0,45.8,2.14,1.89,0.09,6.49,2.14,0.14,0.00,0.00,0.00,0.00,33.3,3.66,11.0,4.40,39.9,2.63,0.26,0.14,39.7,0.34,1.20,0.26,0.46,Matches
429,Jonas Carls\Jonas-Carls,de GER,DF,Schalke 04,de Bundesliga,21,1997,1.0,31.0,20.0,11.0,0.00,0.00,0.00,0.00,5.00,1.00,0.00,0.00,0.00,10.0,11.0,10.0,19.0,2.00,0.00,10.0,0.00,19.0,0.00,0.00,0.00,2.00,Matches
