Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Targ,Rec,Rec%,Miscon,Dispos,Matches
1245,Thilo Kehrer\Thilo-Kehrer,de GER,DF,Paris S-G,fr Ligue 1,21,1996,21.1,76.7,6.73,30.1,44.3,6.82,0.95,73.9,0.24,0.28,83.3,0.24,0,52.6,254.7,152.2,55.8,1150,97.7,0.28,0.43,Matches
1246,Jules Keita\Jules-Keita,gn GUI,FWMF,Dijon,fr Ligue 1,20,1998,5.1,45.1,0.59,3.53,14.5,32.2,8.24,44.1,5.10,8.63,59.1,5.29,1,42.5,378.8,263.9,45.9,173,73.9,3.73,3.92,Matches
1247,Naby Keïta\Naby-Keita,gn GUI,MF,Liverpool,eng Premier League,23,1995,15.4,79.7,2.01,9.09,50.5,26.9,3.51,78.9,1.69,2.79,60.5,1.95,2,66.4,402.7,240.3,68.8,958,90.5,2.14,1.82,Matches
1248,Keko\Keko,es ESP,MFFW,Valladolid,es La Liga,26,1991,17.0,44.5,1.24,7.59,19.1,21.8,3.24,43.1,1.94,3.00,64.7,2.06,1,33.1,248.3,148.4,44.2,489,65.0,2.12,1.71,Matches
1249,Martin Kelly\Martin-Kelly,eng ENG,DF,Crystal Palace,eng Premier League,28,1990,12.3,41.1,8.86,25.9,17.0,0.98,0.65,40.2,0.00,0.00,,0.00,0,21.0,136.9,76.6,20.1,242,98.0,0.08,0.08,Matches
1250,Marc-Oliver Kempf\Marc-Oliver-Kempf,de GER,DF,Stuttgart,de Bundesliga,23,1995,22.5,58.9,7.07,28.9,30.8,2.84,0.84,57.2,0.18,0.27,66.7,0.18,0,32.8,197.4,110.8,32.7,715,97.1,0.18,0.22,Matches
1251,Kenedy\Kenedy,br BRA,MFFW,Newcastle Utd,eng Premier League,22,1996,15.0,51.8,1.60,11.8,25.5,19.2,2.20,48.7,2.80,4.13,67.7,3.07,3,37.5,249.3,123.8,36.7,435,78.9,1.40,2.07,Matches
1252,Jonjoe Kenny\Jonjoe-Kenny,eng ENG,DF,Everton,eng Premier League,21,1997,8.8,76.7,4.20,20.1,36.7,21.7,0.45,61.9,0.80,1.48,53.8,1.14,1,42.8,166.3,87.8,43.6,346,90.1,0.91,0.91,Matches
1253,Christophe Kerbrat\Christophe-Kerbrat,fr FRA,DF,Guingamp,fr Ligue 1,31,1986,23.3,48.1,6.48,27.0,21.9,1.80,0.47,45.8,0.04,0.09,50.0,0.04,0,24.2,128.2,77.5,22.6,522,99.1,0.04,0.21,Matches
1254,Sebastian Kerk\Sebastian-Kerk,de GER,MFFW,Nürnberg,de Bundesliga,24,1994,13.1,46.2,2.21,11.8,18.5,18.2,1.53,38.5,0.53,0.99,53.8,0.53,1,25.6,131.9,71.7,33.9,335,75.5,0.84,0.84,Matches
