Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,OG,Matches
88,Felipe Anderson\Felipe-Anderson,br BRA,FWMF,West Ham,eng Premier League,25,1993,33.8,129,3.82,87,19,10,5,8,14,0.41,9,1,2,2,0,0,Matches
89,Florin Andone\Florin-Andone,ro ROU,FW,Brighton,eng Premier League,25,1993,9.8,13,1.33,6,0,2,3,2,2,0.20,0,0,1,1,0,0,Matches
90,Benjamin André\Benjamin-Andre,fr FRA,MF,Rennes,fr Ligue 1,27,1990,27.7,56,2.02,44,1,2,1,8,5,0.18,4,0,0,0,1,0,Matches
91,Marco Andreolli\Marco-Andreolli,it ITA,DF,Cagliari,it Serie A,32,1986,1.2,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
92,Marco Andreolli\Marco-Andreolli,it ITA,DF,Chievo,it Serie A,32,1986,7.2,2,0.28,2,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
93,Yoann Andreu\Yoann-Andreu,fr FRA,DF,Angers,fr Ligue 1,29,1989,0.0,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
94,Miguel Ángel Moyá\Miguel-Angel-Moya,es ESP,GK,Real Sociedad,es La Liga,34,1984,11.0,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
95,José Ángel\Jose-Angel,es ESP,DF,Eibar,es La Liga,28,1989,33.6,85,2.53,52,26,3,2,2,6,0.18,5,1,0,0,0,0,Matches
96,Cristian Ansaldi\Cristian-Ansaldi,ar ARG,DFMF,Torino,it Serie A,31,1986,20.1,53,2.64,37,5,7,2,1,5,0.25,3,0,1,0,0,1,Matches
97,Mirco Antenucci\Mirco-Antenucci,it ITA,FW,SPAL,it Serie A,33,1984,23.7,59,2.49,42,0,6,5,6,5,0.21,3,0,1,0,1,0,Matches
98,Waldemar Anton\Waldemar-Anton,de GER,DF,Hannover 96,de Bundesliga,22,1996,34.0,21,0.62,17,1,2,0,1,0,0.00,0,0,0,0,0,0,Matches
99,Luca Antonelli\Luca-Antonelli,it ITA,DFMF,Empoli,it Serie A,31,1987,8.4,10,1.19,7,0,0,1,2,2,0.24,2,0,0,0,0,0,Matches
100,Mauro Antonio Burruchaga\Mauro-Antonio-Burruchaga,ar ARG,MF,Chievo,it Serie A,20,1998,0.6,1,1.55,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
101,Michail Antonio\Michail-Antonio,eng ENG,FWMF,West Ham,eng Premier League,28,1990,23.4,55,2.35,36,0,7,6,6,9,0.39,4,0,0,3,2,0,Matches
102,Antoñito\Antonito,es ESP,DFMF,Valladolid,es La Liga,30,1987,20.7,43,2.08,35,2,4,0,2,2,0.10,1,0,1,0,0,0,Matches
103,Vitorino Antunes\Vitorino-Antunes,pt POR,DF,Getafe,es La Liga,31,1987,24.2,55,2.27,31,17,3,3,1,5,0.21,5,0,0,0,0,0,Matches
104,Anuar\Anuar,ma MAR,MF,Valladolid,es La Liga,23,1995,12.0,6,0.50,4,1,0,0,1,0,0.00,0,0,0,0,0,0,Matches
105,Dennis Aogo\Dennis-Aogo,de GER,MF,Stuttgart,de Bundesliga,31,1987,11.4,18,1.58,11,6,0,1,0,0,0.00,0,0,0,0,0,0,Matches
106,Houssem Aouar\Houssem-Aouar,fr FRA,MF,Lyon,fr Ligue 1,20,1998,34.0,107,3.15,83,0,4,11,9,18,0.53,10,0,0,3,5,0,Matches
107,Emmanuel Apeh\Emmanuel-Apeh,ng NGA,MF,Celta Vigo,es La Liga,21,1996,0.2,1,6.43,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
108,Mauro Arambarri\Mauro-Arambarri,uy URU,MF,Getafe,es La Liga,22,1995,29.7,32,1.08,22,1,2,0,7,3,0.10,1,1,0,0,1,0,Matches
